Comment,Designator,Footprint,LCSC Part #
0.68,R11,R1206,
1K5,R31,R0402,
1k,R37 R38 R39,R0402,
1k2,R4 R7 R8 R9 R19,R0402,
1m,R1 R2,2512-4PAD,
1u,C3 C4 C15 C19 C20,C0603,
2,R3 R5 R13 R14 R17 R20 R27 R28 R29 R30,R0402,
3.6k,R18,R0603,
3k3,R10,R0402,
10k,R40,R0402,
10n,C34,CAPC1005X55N,
10u,C11 C12,C0805,
78L05F,U8,SOT89,
78L12F,U7,SOT89,
100n,C5 C7 C10 C16 C21 C23 C30 C31 C32 C33,CAPC1005X55N,
100p,C6,CAPC1005X55N,
330n,C9 C37,C0603,
330p,C38 C39,CAPC1005X55N,
470,R16,R0402,
6800p,C13 C14 C17 C18,CAPC1005X55N,
CSTNE_GH5L,U12,CSTNE_GH5L,
GREEN,LED3,CHIP-LED0603,
INA2181A1IDGSR,U11,DGS10,
L5852,L1,L5852,
MC34063AD,U10,SOIC8,
MIC4606-2YTS-TR,U6,TSSOP16,
PMEG6010CEJ 115,D3,SOD323_ST,
RED,LED1,CHIP-LED0603,
STM32F302_303C2,U1,LQFP48-7X7MM,
XC6206,U9,SOT95P240X110-3,
YELLOW,LED2 LED4,CHIP-LED0603,
