Designator,Mid X,Mid Y,Layer,Rotation
C3,23.80,20.40,Top,270.0
C4,16.50,19.00,Top,270.0
C5,24.00, 6.60,Top,180.0
C6,19.00, 4.70,Top,270.0
C7, 9.70, 6.40,Top,180.0
C9,14.20,19.90,Top,90.0
C10,11.60,22.50,Top,0.0
C11,11.00,37.00,Top,90.0
C12,15.40,23.40,Top,270.0
C13,21.10,32.40,Top,0.0
C14,21.30,30.60,Top,270.0
C15,35.10,23.10,Top,0.0
C16,39.30,13.00,Top,0.0
C17,36.10,39.00,Top,0.0
C18,37.20,31.50,Top,0.0
C19,33.20, 1.80,Top,0.0
C20,36.00, 4.60,Top,270.0
C21,40.60,18.00,Top,180.0
C23,44.50,31.90,Top,90.0
C30,10.47, 8.43,Top,270.0
C31,32.50,15.50,Top,270.0
C32,34.60, 7.70,Top,180.0
C33,24.10,15.70,Top,0.0
C34,23.50, 7.80,Top,0.0
C37,38.10,18.90,Top,90.0
C38,28.50,21.60,Top,180.0
C39,30.40,22.80,Top,0.0
D3,19.00, 2.00,Top,270.0
L1,23.00, 3.10,Top,180.0
LED1, 2.60,15.30,Top,90.0
LED2, 2.60,14.30,Top,90.0
LED3, 2.60,13.30,Top,90.0
LED4,48.00,13.00,Top,270.0
R1,39.50,38.90,Top,270.0
R2,41.70,28.60,Top,0.0
R3,37.10,32.90,Top,0.0
R4,45.70,13.00,Top,0.0
R5,24.80,25.00,Top,270.0
R7, 5.20,15.40,Top,180.0
R8, 5.20,14.30,Top,180.0
R9, 5.20,13.20,Top,180.0
R10,35.48,20.94,Top,0.0
R11, 9.20, 2.90,Top,270.0
R13,18.90,32.40,Top,0.0
R14,19.80,30.60,Top,90.0
R16,21.30,11.40,Top,0.0
R17,38.50,25.20,Top,270.0
R18,15.30, 6.60,Top,0.0
R19,12.00, 6.60,Top,180.0
R20,38.70,33.10,Top,270.0
R27,21.20,26.20,Top,180.0
R28,21.50,33.80,Top,270.0
R29,34.50,38.50,Top,90.0
R30,35.70,30.50,Top,90.0
R31,11.78,14.24,Top,270.0
R37,31.20,24.00,Top,0.0
R38,28.90,23.20,Top,90.0
R39,11.46, 8.44,Top,270.0
R40, 8.94, 7.92,Top,180.0
U1,28.34,11.38,Top,180.0
U6,20.00,18.60,Top,90.0
U7, 9.80,19.70,Top,90.0
U8,36.80,15.00,Top,270.0
U9,33.23, 4.68,Top,180.0
U10,14.20, 3.20,Top,90.0
U11,43.50,35.90,Top,270.0
U12,34.80,10.90,Top,90.0
